query_id,query_planning_time,plan_total_cost,plan_startup_cost,plan_rows,plan_width,output_rows,max_depth,num_operators,has_sort,has_hash,is_parallel_aware,max_workers_planned,max_workers_launched,node_type_Seq Scan_count,node_type_Hash Join_count,node_type_Merge Join_count,node_type_Nested Loop_count,node_type_Aggregate_count,node_type_Sort_count,node_type_Limit_count,node_type_Materialize_count,node_type_Gather_count,node_type_Gather Merge_count,node_type_OTHER_count,total_estimated_rows,total_estimated_bytes,total_actual_rows,total_actual_loops,total_actual_time_node,rows_estimate_error,rows_estimate_ratio,output_row_estimation_error,output_row_estimation_ratio,cost_time_ratio,sum_node_actual_time_vs_total_actual_time_ratio,query_length_chars,has_group_by,has_order_by,has_limit,num_aggregate_functions,num_joins,num_tables_referenced,num_where_conditions,actual_execution_time
2802,0.027,27170.06,27164.81,45,8,45,5,7,1,1,1,2,2,2,1,0,0,0,1,1,0,0,1,1,312885.0,2251720.0,100185.0,17.0,107.824,-212700.0,0.32019751665947555,0,1.0,0.0005762225037412505,6.887072049054675,205,0,1,1,0,1,2,0,15.656
2803,0.047,136.22,135.63,56,116,0,5,7,1,1,0,0,0,2,1,0,0,1,1,1,0,0,0,1,624.0,33620.0,0.0,5.0,0.027000000000000003,-624.0,0.0,-56,0.0,0.00011745705476435178,1.6875000000000002,299,1,1,1,1,1,2,0,0.016
2804,0.012,135.77,135.63,57,208,0,4,6,1,1,0,0,0,2,1,0,0,0,1,1,0,0,0,1,568.0,78444.0,0.0,4.0,0.01,-568.0,0.0,-57,0.0,5.1557781542314204e-05,1.4285714285714286,202,0,1,1,0,1,2,0,0.007
2805,0.045,1071511.64,1071501.38,88,12,88,6,10,1,1,1,2,2,3,2,0,0,0,1,1,0,0,1,2,18827539.0,215264860.0,9065558.0,26.0,23369.929,-9761981.0,0.48150520362751603,0,1.0,0.0020546048384504716,10.615298067301286,367,0,1,1,0,2,3,2,2201.533
2806,0.112,272349.15,209294.21,76,71,76,8,15,1,1,1,2,2,4,2,0,1,1,1,1,1,0,1,3,39344072.0,1278455946.0,19917504.0,29.0,23217.756999999998,-19426568.0,0.5062390085093378,0,1.0,0.015509657364452947,5.49657342422258,589,1,1,1,1,3,4,0,4224.042
2807,0.059,157.37,145.38,11,138,11,4,9,1,0,0,0,0,3,0,1,1,0,2,1,1,0,0,0,30861.0,2119998.0,375.0,9.0,0.21100000000000005,-30486.0,0.012151258870418975,0,1.0,0.00047022939569168196,2.851351351351352,318,0,1,1,0,2,3,0,0.074
2808,0.094,385743.07,261315.53,15,144,15,9,14,1,1,1,2,2,4,2,0,1,1,1,1,1,0,1,2,27566959.0,1935813848.0,13017319.0,45.0,27678.760999999995,-14549640.0,0.47220728989367305,0,1.0,0.01779650636367881,4.031937198019076,445,1,1,1,1,3,4,0,6864.879
2809,0.062,1845.67,1845.47,82,120,25,5,7,1,1,0,0,0,2,1,0,0,1,1,1,0,0,0,1,28922.0,2307920.0,20125.0,7.0,16.341000000000005,-8797.0,0.695837079040177,-57,0.3048780487804878,0.002329235453791848,3.801116538729938,343,1,1,1,1,1,2,0,4.299
2810,0.082,29911.51,29848.17,65,91,65,7,12,1,1,1,2,2,3,1,0,1,1,1,1,1,0,1,2,26775992.0,1925013068.0,76363.0,17.0,319.136,-26699629.0,0.002851920481601578,0,1.0,0.0014914325622477768,7.153751316939769,470,1,1,1,1,2,3,0,44.611
2811,0.066,253189.13,213368.21,36,45,36,5,10,1,1,1,2,2,3,1,0,1,0,1,1,1,0,1,1,27370806.0,583659576.0,18219031.0,14.0,10743.869,-9151775.0,0.6656373582860512,0,1.0,0.011103885068051697,3.8215600649217847,272,0,1,1,0,2,3,0,2811.383
